"author","title","link"
"Rabbi Moshe Taragin","The Invisible Man","https://www.yutorah.org/lectures/details?shiurid=783889"
"Rabbi Azarya Berzon","Ramban on Parshat Toldot: The symbolism and message of the wells of Avraham and Yitzchok","https://www.yutorah.org/lectures/details?shiurid=783927"
"Rabbi Joel Finkelstein","Toledot : Rivka's Age","https://www.yutorah.org/lectures/details?shiurid=783934"
"Rabbi Reuven Spolter","Parshat Toldot: Rivka, Yaakov, Eisav, and Flying Missiles","https://www.yutorah.org/lectures/details?shiurid=783939"
"Rabbi Philip Moskowitz","Hafotrah for Toldos: Leadership - You’re Either In or You’re Out","https://www.yutorah.org/lectures/details?shiurid=783968"
"Rabbi Michael Rosensweig","The Paradigms of Yaakov and Avraham vs. Eisav - Leadership without Fanfare","https://www.yutorah.org/lectures/details?shiurid=784033"
"Rabbi Avishai David","Chanoch Lna'ar Al Pi Darko","https://www.yutorah.org/lectures/details?shiurid=784126"
"Rabbi Judah Mischel","Toldot - Digging Our Own Wells","https://www.yutorah.org/lectures/details?shiurid=789263"
"Rabbi Moshe Taragin","Grab a Shovel & Daven !!","https://www.yutorah.org/lectures/details?shiurid=784007"
"Rabbi Chaim Brovender","Yaakov and Esav Revisted","https://www.yutorah.org/lectures/details?shiurid=784031"
"Rabbi Moshe Tzvi Weinberg","Kedushas Levi - Toldos 5773 - The Life Changing Experience of Seeing a True Tzaddik @ YU","https://www.yutorah.org/lectures/details?shiurid=784045"
"Rabbi Ari Ginsberg","Parshas Toldos - The Big Secret","https://www.yutorah.org/lectures/details?shiurid=800492"
"Rabbi Eli Belizon","Parshas Toledos: Financial Value in Halacha: Projections, Hedges & Futures","https://www.yutorah.org/lectures/details?shiurid=784144"
"Rabbi Michael Taubes","Parshas Toldos Bracha of Baruch ShePetarani","https://www.yutorah.org/lectures/details?shiurid=784241"
"Rabbi Moshe D. Tendler","Parshas Toldos","https://www.yutorah.org/lectures/details?shiurid=784103"
"Rabbi Ephraim Greene","Toldos: Fasting on Your Wedding Day, Lessons from Eisav's Marriage","https://www.yutorah.org/lectures/details?shiurid=784062"
"Rabbi Zvi Romm","Haemek Davar on Toldos","https://www.yutorah.org/lectures/details?shiurid=784118"
"Rabbi Baruch Simon","Toldos 5773 - The Importance of Staying Structed, Which Esav was Not","https://www.yutorah.org/lectures/details?shiurid=784110"
"Rabbi Azarya Berzon","Ramban on Parshat Toldot: Is there Judaism before Matan Torah?","https://www.yutorah.org/lectures/details?shiurid=784113"
"Rabbi Azarya Berzon","Parshat Toldot: Yitchok, Esau & Yaakov, in the writings of the Shem Mishmuel","https://www.yutorah.org/lectures/details?shiurid=784114"
"Rabbi Andi Yudin","Kibbud Av V'em to the Max","https://www.yutorah.org/lectures/details?shiurid=784127"
"Rabbi Chaim Eisenstein","Ten Minute Mussar: The Secret of Klal Yisrael - The antidote to alcoholism","https://www.yutorah.org/lectures/details?shiurid=784132"
"Rabbi Moshe Taragin","Esav's 3 Fatal Flaws","https://www.yutorah.org/lectures/details?shiurid=784124"
"Rabbi Yehuda Goldschmidt","Wake Up and Do Something","https://www.yutorah.org/lectures/details?shiurid=784130"
"Rabbi Michael Taubes","Parshas Toldos When Does One Become a Bar or Bas Mitzvah","https://www.yutorah.org/lectures/details?shiurid=784245"
"Rabbi Elchanan Adler","Weekly Halacha: Are Non-Jews obligated in kibbud av va'em?","https://www.yutorah.org/lectures/details?shiurid=784219"
"Rabbi Alan Haber","Between Esav and Lavan: Our Enemies' Many Faces","https://www.yutorah.org/lectures/details?shiurid=784388"
"Rabbi Yaacov Haber","Kedushas Shabbos Part 102 - The Sign of Mashiach","https://www.yutorah.org/lectures/details?shiurid=785298"
"Rabbi Josh Strulowitz","Marriage of Yitchak and Rivka","https://www.yutorah.org/lectures/details?shiurid=793748"
"Ms. Elana Flaumenhaft","A Portrait of Rivka: Avraham's Niece, Yitzchak's Wife, Yaakov's Mother","https://www.yutorah.org/lectures/details?shiurid=799516"
"Rabbi Meir Goldwicht","Bridging the Generation Gap: From Respecting Parents To Educating Children","https://www.yutorah.org/lectures/details?shiurid=799517"
"Rabbi Shay Schachter","Looking at a Rasha","https://www.yutorah.org/lectures/details?shiurid=799520"
"Rabbi Moshe Taragin","Act II","https://www.yutorah.org/lectures/details?shiurid=799546"
"Rabbi Eli Weber","Parshat Toldot Did the Avot Keep Taryag Mitzvot","https://www.yutorah.org/lectures/details?shiurid=799553"
